"%1 - %2","%1 - %2"
"%1 Gift Card","%1 Gift Card"
"%1 Gift Cards","%1 Gift Cards"
"%1 amount of %2 via Stripe. Transaction ID: %3","%1 amount of %2 via Stripe. Transaction ID: %3"
"%1 could not be captured online because it was already captured via Stripe. Capturing %1 offline instead.","%1 could not be captured online because it was already captured via Stripe. Capturing %1 offline instead."
"%1 could not be captured online because this cart includes subscriptions which are trialing. Capturing %1 offline instead.","%1 could not be captured online because this cart includes subscriptions which are trialing. Capturing %1 offline instead."
"%1 every %2 %3","%1 every %2 %3"
"%1 every %2","%1 every %2"
"%1 has already captured via Stripe. The invoice was in Pending status, likely because a webhook could not be delivered to your website. Capturing %1 offline instead.","%1 has already captured via Stripe. The invoice was in Pending status, likely because a webhook could not be delivered to your website. Capturing %1 offline instead."
"%1 out of %2 could not be refunded online. Creating an offline refund instead.","%1 out of %2 could not be refunded online. Creating an offline refund instead."
"%1 via Stripe","%1 via Stripe"
"%1 •••• %2","%1 •••• %2"
"Expired authorizations","Expired authorizations"
"First payment","First payment"
"Form layout","Form layout"
"Fraud via Stripe Radar","Fraud via Stripe Radar"
"General settings","General settings"
"Hold elevated risk orders","Hold elevated risk orders"
"Horizontal - Tabs","Horizontal - Tabs"
"If the start date is January 1st, and the subscription repeats monthly, then subscriptions will start on the 1st of next month. If the subscription repeats every 6 months, subscriptions will start either on January 1st or July 1st.","If the start date is January 1st, and the subscription repeats monthly, then subscriptions will start on the 1st of next month. If the subscription repeats every 6 months, subscriptions will start either on January 1st or July 1st."
"Ignoring %1 webhook event with no associated order ID.","Ignoring %1 webhook event with no associated order ID."
"Initial Fee","Initial Fee"
"Invalid %1 address.","Invalid %1 address."
"Invalid secret Stripe API keys.","Invalid secret Stripe API keys."
"Invalid store requested.","Invalid store requested."
"Invalid subscription ID.","Invalid subscription ID."
"Invalid type specified for Wallet Button params","Invalid type specified for Wallet Button params"
"It is not possible to capture subscription orders that were created from the CLI.","It is not possible to capture subscription orders that were created from the CLI."
"It is not possible to capture the payment because the transaction has not yet been authorized.","It is not possible to capture the payment because the transaction has not yet been authorized."
"Last billed","Last billed"
"Limited-time discount coupons cannot be applied on carts that include both regular products and trial subscriptions.","Limited-time discount coupons cannot be applied on carts that include both regular products and trial subscriptions."
"Live publishable API key","Live publishable API key"
"Live secret API key","Live secret API key"
"Manage customer","Manage customer"
"Minimum amount","Minimum amount"
"Module version","Module version"
"Multishipping orders %1 by %2","Multishipping orders %1 by %2"
"My Payment Methods","My Payment Methods"
"My Subscriptions","My Subscriptions"
"New Billing Plan","New Billing Plan"
"New payment method","New payment method"
"New subscription amount","New subscription amount"
"Next billing date","Next billing date"
"No name specified in your %1 address.","No name specified in your %1 address."
"No payment has been collected. A separate order will be created with the first payment.","No payment has been collected. A separate order will be created with the first payment."
"No payment method.","No payment method."
"Number of months","Number of months"
"One time payment","One time payment"
"Only one subscription is allowed per order.","Only one subscription is allowed per order."
"Optional statement descriptor","Optional statement descriptor"
"Order #","Order #"
"Order #%1 by %2","Order #%1 by %2"
"Order #%1","Order #%1"
"Order Total","Order Total"
"Order created via subscriptions CLI migration tool.","Order created via subscriptions CLI migration tool."
"Order placed under manual review by Stripe Radar.","Order placed under manual review by Stripe Radar."
"Original order number","Original order number"
"Partially captured %1 online. This amount is part of %2 multishipping orders totaling %3, and does not include cancelations and refunds.","Partially captured %1 online. This amount is part of %2 multishipping orders totaling %3, and does not include cancelations and refunds."
"Past Due","Past Due"
"Payment Method","Payment Method"
"Payment action","Payment action"
"Payment authentication failed.","Payment authentication failed."
"Payment authorization succeeded.","Payment authorization succeeded."
"Payment due","Payment due"
"Payment failed. Please try placing the order again.","Payment failed. Please try placing the order again."
"Payment failed.","Payment failed."
"Payment failed: %1","Payment failed: %1"
"Payment failed: %1. Please try placing the order again.","Payment failed: %1. Please try placing the order again."
"Payment flow","Payment flow"
"Payment method configuration","Payment method configuration"
"Payment status","Payment status"
"Payment succeeded.","Payment succeeded."
"Pick start date","Pick start date"
"Place Order","Place Order"
"Please choose a payment method.","Please choose a payment method."
"Please complete the payment method details.","Please complete the payment method details."
"Please complete your payment details.","Please complete your payment details."
"Please enter your card's security code.","Please enter your card's security code."
"Please see order","Please see order"
"Please select a payment method.","Please select a payment method."
"Please specify a billing address.","Please specify a billing address."
"Please specify a payment method ID.","Please specify a payment method ID."
"Please specify a payment method.","Please specify a payment method."
"Please specify a shipping address region/state.","Please specify a shipping address region/state."
"Please specify your full name in your %1 address.","Please specify your full name in your %1 address."
"Please update your billing address to proceed.","Please update your billing address to proceed."
"Previous subscription amount","Previous subscription amount"
"Product pages","Product pages"
"Prorate downgrades","Prorate downgrades"
"Prorate first payment","Prorate first payment"
"Prorate upgrades","Prorate upgrades"
"Prorations for downgrades","Prorations for downgrades"
"Prorations for upgrades","Prorations for upgrades"
"Quote address for failed order ID ""%1"" not found.","Quote address for failed order ID ""%1"" not found."
"Receipt emails","Receipt emails"
"Received %1 webhook but there was no associated Order #","Received %1 webhook but there was no associated Order #"
"Received %1 webhook with Order #%2 but could not find the order in Magento.","Received %1 webhook with Order #%2 but could not find the order in Magento."
"Received invalid request payload.","Received invalid request payload."
"Redirect customers to Stripe Checkout.","Redirect customers to Stripe Checkout."
"Refunding order offline.","Refunding order offline."
"Repeat Every","Repeat Every"
"Requested a refund of %1, but the most amount that can be refunded online is %2. You can retry refunding offline instead.","Requested a refund of %1, but the most amount that can be refunded online is %2. You can retry refunding offline instead."
"Requested a refund of %1, but the most amount that can be refunded online is %2.","Requested a refund of %1, but the most amount that can be refunded online is %2."
"Requested an online refund of %1, but the most amount that can be refunded online is %2. Refunding offline instead.","Requested an online refund of %1, but the most amount that can be refunded online is %2. Refunding offline instead."
"Risk evaluation","Risk evaluation"
"Save card on customer","Save card on customer"
"Save customer payment method","Save customer payment method"
"Saved payment methods","Saved payment methods"
"Scheduled %1 to be captured via cron on %5. This amount is part of %2 multishipping orders totaling %3. To capture now instead, invoice or cancel all multishipping orders (%4). ","Scheduled %1 to be captured via cron on %5. This amount is part of %2 multishipping orders totaling %3. To capture now instead, invoice or cancel all multishipping orders (%4). "
"Scheduled %1 to be refunded via cron on %2. This amount is part of %3 multishipping orders totaling %4. To refund now instead, invoice or cancel all multishipping orders (%5). ","Scheduled %1 to be refunded via cron on %2. This amount is part of %3 multishipping orders totaling %4. To refund now instead, invoice or cancel all multishipping orders (%5). "
"Select a payment method:","Select a payment method:"
"Select card icons","Select card icons"
"Seller name","Seller name"
"Send an invoice to the customer by email (via Stripe Billing)","Send an invoice to the customer by email (via Stripe Billing)"
"Shopping cart page","Shopping cart page"
"Show only specific cards","Show only specific cards"
"Sorry, an error has occurred. Please contact us for assistance.","Sorry, an error has occurred. Please contact us for assistance."
"Sorry, it is not possible to delete this payment method because order #%1 which was placed using it is still being processed.","Sorry, it is not possible to delete this payment method because order #%1 which was placed using it is still being processed."
"Sorry, it is not possible to invoice this order because the payment is still pending.","Sorry, it is not possible to invoice this order because the payment is still pending."
"Sorry, the order could not be placed. Please contact us for assistance.","Sorry, the order could not be placed. Please contact us for assistance."
"Sorry, the order could not be placed. Please contact us for more help.","Sorry, the order could not be placed. Please contact us for more help."
"Sorry, the selected payment method is not available. Please use a different payment method.","Sorry, the selected payment method is not available. Please use a different payment method."
"Sorry, the subscription could not be canceled. Please contact us for more help.","Sorry, the subscription could not be canceled. Please contact us for more help."
"Sorry, the subscription could not be reactivated. Please contact us for more help.","Sorry, the subscription could not be reactivated. Please contact us for more help."
"Sorry, the subscription could not be updated. Please contact us for assistance.","Sorry, the subscription could not be updated. Please contact us for assistance."
"Sorry, the subscription could not be updated. Please contact us for more help.","Sorry, the subscription could not be updated. Please contact us for more help."
"Sorry, this option is not available right now.","Sorry, this option is not available right now."
"Sorry, this payment method is not available in your country.","Sorry, this payment method is not available in your country."
"Sorry, this payment method is not available. Please contact us for assistance.","Sorry, this payment method is not available. Please contact us for assistance."
"Sorry, this subscription product is currently unavailable.","Sorry, this subscription product is currently unavailable."
"Sorry, unable to reactivate the subscription","Sorry, unable to reactivate the subscription"
"Sorry, unable to reactivate the subscription.","Sorry, unable to reactivate the subscription."
"Sort order","Sort order"
"Specific Currencies","Specific Currencies"
"Start date","Start date"
"Start on specific date","Start on specific date"
"Stripe - %1","Stripe - %1"
"Stripe - Customer request for subscription update","Stripe - Customer request for subscription update"
"Stripe Checkout - %1","Stripe Checkout - %1"
"Stripe Checkout session has expired without a payment.","Stripe Checkout session has expired without a payment."
"Stripe Payment Method","Stripe Payment Method"
"Stripe Radar","Stripe Radar"
"Subscription Enabled","Subscription Enabled"
"Subscription Update Review","Subscription Update Review"
"Subscription Update","Subscription Update"
"Subscription amount","Subscription amount"
"Subscription items cannot be captured online. Capturing offline instead.","Subscription items cannot be captured online. Capturing offline instead."
"Subscription status","Subscription status"
"Subscription update","Subscription update"
"Subscriptions by Stripe","Subscriptions by Stripe"
"Subscriptions that do not renew together must be bought separately.","Subscriptions that do not renew together must be bought separately."
"Subscriptions via Stripe Billing","Subscriptions via Stripe Billing"
"Test publishable API key","Test publishable API key"
"Test secret API key","Test secret API key"
"The amount to be captured (%1) is larger than the authorized amount of %2. We will capture %2 instead.","The amount to be captured (%1) is larger than the authorized amount of %2. We will capture %2 instead."
"The authorization has expired and the original payment method cannot be reused to re-create the payment.","The authorization has expired and the original payment method cannot be reused to re-create the payment."
"The authorization was canceled via Stripe.","The authorization was canceled via Stripe."
"The billing details for a subscription on this order have changed. Please see order #%1 for information on the new billing details.","The billing details for a subscription on this order have changed. Please see order #%1 for information on the new billing details."
"The cart contents have changed. The order is canceled because a new one will be placed (#%1) with the new details.","The cart contents have changed. The order is canceled because a new one will be placed (#%1) with the new details."
"The cart contents or customer details have changed. The order is canceled because a new one will be placed (#%1) with the new details.","The cart contents or customer details have changed. The order is canceled because a new one will be placed (#%1) with the new details."
"The checkout session for order #%1 could not be retrieved from Stripe","The checkout session for order #%1 could not be retrieved from Stripe"
"The coupon duration is not a valid number.","The coupon duration is not a valid number."
"The customer details have changed, or a checkout error occurred. The order is canceled because a new one will be placed (#%1) with the new details.","The customer details have changed, or a checkout error occurred. The order is canceled because a new one will be placed (#%1) with the new details."
"The customer does not have an order.","The customer does not have an order."
"The customer has paid the invoice for this order.","The customer has paid the invoice for this order."
"The customer has updated their subscription on %1. Recurring order generated from updated subscription with ID %2.","The customer has updated their subscription on %1. Recurring order generated from updated subscription with ID %2."
"The customer has updated their subscription on %1. The initial subscription order was #%2. Recurring order generated from updated subscription with ID %3.","The customer has updated their subscription on %1. The initial subscription order was #%2. Recurring order generated from updated subscription with ID %3."
"The customer is not logged in.","The customer is not logged in."
"The customer left from the payment page without paying.","The customer left from the payment page without paying."
"The customer returned from Stripe and changed the cart details.","The customer returned from Stripe and changed the cart details."
"The customer was redirected for payment processing. The payment is pending.","The customer was redirected for payment processing. The payment is pending."
"The customer's bank requested customer authentication. Beginning the authentication process.","The customer's bank requested customer authentication. Beginning the authentication process."
"The discount could not be created in Stripe: %2","The discount could not be created in Stripe: %2"
"The gift cards for order #%1 could not be created in Stripe: %2","The gift cards for order #%1 could not be created in Stripe: %2"
"The invoice could not be created in Stripe: %1","The invoice could not be created in Stripe: %1"
"The invoice for order #%1 could not be created in Stripe: %2","The invoice for order #%1 could not be created in Stripe: %2"
"The invoice for this order could not be found.","The invoice for this order could not be found."
"The invoice item for product ""%1"" could not be created in Stripe: %2","The invoice item for product ""%1"" could not be created in Stripe: %2"
"The invoice was voided from the Stripe Dashboard.","The invoice was voided from the Stripe Dashboard."
"The maximum available amount to capture is %1, but a capture of %2 was requested. Will capture %1 instead.","The maximum available amount to capture is %1, but a capture of %2 was requested. Will capture %1 instead."
"The most amount that can be captured online is %1.","The most amount that can be captured online is %1."
"The order billing address has changed (%1).","The order billing address has changed (%1)."
"The order could not be loaded.","The order could not be loaded."
"The order could not be placed. Please contact us for assistance.","The order could not be placed. Please contact us for assistance."
"The order details have changed (%1).","The order details have changed (%1)."
"The order does not match the current quote.","The order does not match the current quote."
"The order is pending a bank transfer of %1 from the customer.","The order is pending a bank transfer of %1 from the customer."
"The order items have changed (%1).","The order items have changed (%1)."
"The order shipping address has changed (%1).","The order shipping address has changed (%1)."
"The order shipping method has changed (%1).","The order shipping method has changed (%1)."
"The paid invoice amount is %1. The customer's starting balance was %2.","The paid invoice amount is %1. The customer's starting balance was %2."
"The payment can only be refunded via the Stripe Dashboard. You can retry in offline mode instead.","The payment can only be refunded via the Stripe Dashboard. You can retry in offline mode instead."
"The payment for this order has not been authorized yet.","The payment for this order has not been authorized yet."
"The payment for this order is pending! An invoice will be sent separately which includes a payment link. Please click the link to complete the payment.","The payment for this order is pending! An invoice will be sent separately which includes a payment link. Please click the link to complete the payment."
"The payment has been approved via Stripe.","The payment has been approved via Stripe."
"The payment has been rejected as fraudulent via Stripe.","The payment has been rejected as fraudulent via Stripe."
"The payment method could not be saved: %1","The payment method could not be saved: %1"
"The payment method does not exist.","The payment method does not exist."
"The payment method has been deleted.","The payment method has been deleted."
"The payment method has been saved.","The payment method has been saved."
"The payment method has been successfully added.","The payment method has been successfully added."
"The payment methods could not be deleted: %1","The payment methods could not be deleted: %1"
"The payment was canceled through Stripe with reason: %1.","The payment was canceled through Stripe with reason: %1."
"The price could not be created in Stripe: %1","The price could not be created in Stripe: %1"
"The price for product ""%1"" could not be created in Stripe: %2","The price for product ""%1"" could not be created in Stripe: %2"
"The product ""%1"" could not be created in Stripe: %2","The product ""%1"" could not be created in Stripe: %2"
"The product could not be created in Stripe: %1","The product could not be created in Stripe: %1"
"The shipping amount for order #%1 could not be created in Stripe: %2","The shipping amount for order #%1 could not be created in Stripe: %2"
"The subscription ""%1"" could not be found in Stripe: %2","The subscription ""%1"" could not be found in Stripe: %2"
"The subscription could not be loaded.","The subscription could not be loaded."
"The subscription has been canceled successfully!","The subscription has been canceled successfully!"
"The subscription has been reactivated.","The subscription has been reactivated."
"The subscription has been updated and we have no order back reference.","The subscription has been updated and we have no order back reference."
"The subscription has been updated successfully.","The subscription has been updated successfully."
"The subscription has been updated.","The subscription has been updated."
"The subscription update (%1) has been canceled.","The subscription update (%1) has been canceled."
"The subscription update has been canceled.","The subscription update has been canceled."
"The tax for order #%1 could not be created in Stripe: %2","The tax for order #%1 could not be created in Stripe: %2"
"This is a multi-shipping event that has not been implemented; ignoring.","This is a multi-shipping event that has not been implemented; ignoring."
"This option is not a subscription. If you would like to cancel your subscription, you can do so from the customer account section.","This option is not a subscription. If you would like to cancel your subscription, you can do so from the customer account section."
"This option is not available because it will reset the subscription billing date.","This option is not available because it will reset the subscription billing date."
"This order cannot be captured from Magento. The invoice will be automatically updated once the customer has paid through a Stripe hosted invoice page.","This order cannot be captured from Magento. The invoice will be automatically updated once the customer has paid through a Stripe hosted invoice page."
"This order has been automatically canceled because no payment has been collected for it. It can only be used as a billing details reference for the subscription items in the order. The subscription is still active and a new order will be created when it renews.","This order has been automatically canceled because no payment has been collected for it. It can only be used as a billing details reference for the subscription items in the order. The subscription is still active and a new order will be created when it renews."
"This order has been placed with a deprecated payment method.","This order has been placed with a deprecated payment method."
"This order was created as part of a requested subscription change by the customer. No payment has been collected. Original order number #%1","This order was created as part of a requested subscription change by the customer. No payment has been collected. Original order number #%1"
"This order will be automatically closed because no payment has been collected for it. It can only be used as a billing details reference for the subscription items in the order. The subscription is still active and a new order will be created when it renews.","This order will be automatically closed because no payment has been collected for it. It can only be used as a billing details reference for the subscription items in the order. The subscription is still active and a new order will be created when it renews."
"This payment method cannot be used because it requires a customer authentication. To avoid authentication in the admin area, please contact Stripe support to request access to the MOTO gate for your Stripe account.","This payment method cannot be used because it requires a customer authentication. To avoid authentication in the admin area, please contact Stripe support to request access to the MOTO gate for your Stripe account."
"This subscription cannot be updated because it is not active.","This subscription cannot be updated because it is not active."
"This subscription is not associated with an order.","This subscription is not associated with an order."
"This value is only used if the coupon duration is ""Multiple months"".","This value is only used if the coupon duration is ""Multiple months""."
"To use this card, please enter the 3-digit security code displayed at the back of your card.","To use this card, please enter the 3-digit security code displayed at the back of your card."
"To use this card, please enter the 4-digit security code displayed at the front of your card.","To use this card, please enter the 4-digit security code displayed at the front of your card."
"Too many orders, please reduce shipping addresses and try again.","Too many orders, please reduce shipping addresses and try again."
"Trial Days","Trial Days"
"Trial Discount","Trial Discount"
"Trial Shipping","Trial Shipping"
"Trial Tax","Trial Tax"
"Trial ends %1","Trial ends %1"
"Trial subscription started.","Trial subscription started."
"Try to re-create the charge using the same card","Try to re-create the charge using the same card"
"Update Subscription","Update Subscription"
"Use Config Settings","Use Config Settings"
"Use a new card","Use a new card"
"Use config settings","Use config settings"
"Vertical - Accordion","Vertical - Accordion"
"View in Stripe","View in Stripe"
"View voucher","View voucher"
"Wallet Button","Wallet Button"
"Wallet payment via Stripe","Wallet payment via Stripe"
"Warn admin and don't capture","Warn admin and don't capture"
"We can't complete your order because you don't have a payment method set up.","We can't complete your order because you don't have a payment method set up."
"We can't update the item right now.","We can't update the item right now."
"We do not know how to capture payments with a token of this format.","We do not know how to capture payments with a token of this format."
"We refunded %1 through Stripe.","We refunded %1 through Stripe."
"We refunded offline the expired authorization of %1. Charge ID: %2","We refunded offline the expired authorization of %1. Charge ID: %2"
"We refunded online %1 via Stripe. Charge ID: %2","We refunded online %1 via Stripe. Charge ID: %2"
"We refunded online %1 via Stripe. Charge ID: %2. Invoice ID: %3","We refunded online %1 via Stripe. Charge ID: %2. Invoice ID: %3"
"We refunded online/released the uncaptured amount of %1 via Stripe. Charge ID: %2","We refunded online/released the uncaptured amount of %1 via Stripe. Charge ID: %2"
"When disabled, the subscription will start on the date that the order is placed.","When disabled, the subscription will start on the date that the order is placed."
"When enabled, downgrades will credit the customer's account balance, and will be used to offset future subscription payments.","When enabled, downgrades will credit the customer's account balance, and will be used to offset future subscription payments."
"When enabled, the first payment will be reduced to the amount of remaining time from the date of order placement to the subscription start date.","When enabled, the first payment will be reduced to the amount of remaining time from the date of order placement to the subscription start date."
"When enabled, upgrades will incur an extra fee for the price difference.","When enabled, upgrades will incur an extra fee for the price difference."
"You are about to change your subscription.","You are about to change your subscription."
"You do not have any active subscriptions.","You do not have any active subscriptions."
"You do not have any saved payment methods.","You do not have any saved payment methods."
"You'll be redirected to Stripe to complete your payment using one of the following payment methods:","You'll be redirected to Stripe to complete your payment using one of the following payment methods:"
"You'll be redirected to Stripe to complete your payment.","You'll be redirected to Stripe to complete your payment."
"Your account has a total credit of %1, which will be used to offset future subscription payments.","Your account has a total credit of %1, which will be used to offset future subscription payments."
"Your account's credit of %1 will be used to offset future subscription payments.","Your account's credit of %1 will be used to offset future subscription payments."
"Your card has been declined. Please check your CVC and try again.","Your card has been declined. Please check your CVC and try again."
"Your checkout session has expired. Please refresh the checkout page and try again.","Your checkout session has expired. Please refresh the checkout page and try again."
"Your order #%1 could not be placed. Please contact us for assistance.","Your order #%1 could not be placed. Please contact us for assistance."
"Your order was placed successfully, but your browser session has expired. Please check your email for an order confirmation.","Your order was placed successfully, but your browser session has expired. Please check your email for an order confirmation."
"Your trial period for order #%1 has started.","Your trial period for order #%1 has started."
"add a new method","add a new method"
"after the invoice has been sent.","after the invoice has been sent."
"every %1 %2","every %1 %2"
"every %1","every %1"
"last billed %1<sup>%2</sup>&nbsp;%3","last billed %1<sup>%2</sup>&nbsp;%3"
"starting on %1<sup>%2</sup>&nbsp;%3","starting on %1<sup>%2</sup>&nbsp;%3"
"trialing until %1<sup>%2</sup> %3","trialing until %1<sup>%2</sup> %3"
"•••• %1","•••• %1"
%1<sup>%2</sup>&nbsp;%3&nbsp;%4,%1<sup>%2</sup>&nbsp;%3&nbsp;%4
Actions,Actions
Active,Active
Add,Add
Amount,Amount
Applies,Applies
Authorized,Authorized
BIC,BIC
Billed,Billed
Buy,Buy
Cancel,Cancel
Canceled,Canceled
Captured,Captured
Card,Card
Close,Close
Collected,Collected
Configure,Configure
Country,Country
Customer,Customer
Dark,Dark
Default,Default
Delete,Delete
Disabled,Disabled
Discount,Discount
Discover,Discover
Donate,Donate
Enabled,Enabled
Error,Error
Frequency,Frequency
IBAN,IBAN
Instructions,Instructions
Invoice,Invoice
JCB,JCB
Light,Light
Light-Outline,Light-Outline
Live,Live
Locations,Locations
MasterCard,MasterCard
Minicart,Minicart
Mode,Mode
Order,Order
Payment,Payment
Payments,Payments
Price,Price
Prorations,Prorations
Reactivate,Reactivate
Reference,Reference
Save,Save
Shipping,Shipping
Status,Status
Stripe,Stripe
Subscription,Subscription
Subscriptions,Subscriptions
Tax,Tax
Test,Test
Title,Title
Unpaid,Unpaid
Visa,Visa
Voucher,Voucher
billing,billing
days,days
or,or
shipping,shipping
